id,approvedName,bioType,proteinAnnotations.functions,reactome
ENSG00000080824,heat shock protein 90 alpha family class A member 1,protein_coding,"['Molecular chaperone that promotes the maturation, structural maintenance and proper regulation of specific target proteins involved for instance in cell cycle control and signal transduction. Undergoes a functional cycle that is linked to its ATPase activity which is essential for its chaperone activity. This cycle probably induces conformational changes in the client proteins, thereby causing their activation. Interacts dynamically with various co-chaperones that modulate its substrate recognition, ATPase cycle and chaperone function (PubMed:11274138, PubMed:15577939, PubMed:15937123, PubMed:27353360, PubMed:29127155, PubMed:12526792). Engages with a range of client protein classes via its interaction with various co-chaperone proteins or complexes, that act as adapters, simultaneously able to interact with the specific client and the central chaperone itself (PubMed:29127155). Recruitment of ATP and co-chaperone followed by client protein forms a functional chaperone. After the completion of the chaperoning process, properly folded client protein and co-chaperone leave HSP90 in an ADP-bound partially open conformation and finally, ADP is released from HSP90 which acquires an open conformation for the next cycle (PubMed:27295069, PubMed:26991466). Plays a critical role in mitochondrial import, delivers preproteins to the mitochondrial import receptor TOMM70 (PubMed:12526792). Apart from its chaperone activity, it also plays a role in the regulation of the transcription machinery. HSP90 and its co-chaperones modulate transcription at least at three different levels (PubMed:25973397). In the first place, they alter the steady-state levels of certain transcription factors in response to various physiological cues(PubMed:25973397). Second, they modulate the activity of certain epigenetic modifiers, such as histone deacetylases or DNA methyl transferases, and thereby respond to the change in the environment (PubMed:25973397). Third, they participate in the eviction of histones from the promoter region of certain genes and thereby turn on gene expression (PubMed:25973397). Binds bacterial lipopolysaccharide (LPS) and mediates LPS-induced inflammatory response, including TNF secretion by monocytes (PubMed:11276205). Antagonizes STUB1-mediated inhibition of TGF-beta signaling via inhibition of STUB1-mediated SMAD3 ubiquitination and degradation (PubMed:24613385). Mediates the association of TOMM70 with IRF3 or TBK1 in mitochodria outer membrane which promotes host antiviral response (PubMed:20628368, PubMed:25609812).']","['R-HSA-1227986' 'R-HSA-1236382' 'R-HSA-1474151' 'R-HSA-192905'
 'R-HSA-2029482' 'R-HSA-203615' 'R-HSA-2565942' 'R-HSA-3000484'
 'R-HSA-3371497' 'R-HSA-3371511' 'R-HSA-3371568' 'R-HSA-3371571'
 'R-HSA-380259' 'R-HSA-380270' 'R-HSA-380284' 'R-HSA-380320'
 'R-HSA-399954' 'R-HSA-4420097' 'R-HSA-5218920' 'R-HSA-5336415'
 'R-HSA-5601884' 'R-HSA-5620912' 'R-HSA-5637810' 'R-HSA-5675482'
 'R-HSA-6785807' 'R-HSA-6798695' 'R-HSA-8852276' 'R-HSA-8854518'
 'R-HSA-8863795' 'R-HSA-8939211' 'R-HSA-9009391' 'R-HSA-9013418'
 'R-HSA-9018519' 'R-HSA-9613829' 'R-HSA-9634285' 'R-HSA-9646399'
 'R-HSA-9652282' 'R-HSA-9664565' 'R-HSA-9665233' 'R-HSA-9665244'
 'R-HSA-9665245' 'R-HSA-9665246' 'R-HSA-9665247' 'R-HSA-9665249'
 'R-HSA-9665250' 'R-HSA-9665251' 'R-HSA-9665348' 'R-HSA-9665686'
 'R-HSA-9665737' 'R-HSA-9679191']"
ENSG00000089041,purinergic receptor P2X 7,protein_coding,"['Receptor for ATP that acts as a ligand-gated ion channel. Responsible for ATP-dependent lysis of macrophages through the formation of membrane pores permeable to large molecules. Could function in both fast synaptic transmission and the ATP-mediated lysis of antigen-presenting cells. In the absence of its natural ligand, ATP, functions as a scavenger receptor in the recognition and engulfment of apoptotic cells (PubMed:21821797, PubMed:23303206).']",['R-HSA-139853' 'R-HSA-418346' 'R-HSA-844456' 'R-HSA-9660826']
ENSG00000090266,NADH:ubiquinone oxidoreductase subunit B2,protein_coding,"['Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone.']",['R-HSA-611105' 'R-HSA-6799198']
ENSG00000091831,estrogen receptor 1,protein_coding,"['Nuclear hormone receptor. The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Ligand-dependent nuclear transactivation involves either direct homodimer binding to a palindromic estrogen response element (ERE) sequence or association with other DNA-binding transcription factors, such as AP-1/c-Jun, c-Fos, ATF-2, Sp1 and Sp3, to mediate ERE-independent signaling. Ligand binding induces a conformational change allowing subsequent or combinatorial association with multiprotein coactivator complexes through LXXLL motifs of their respective components. Mutual transrepression occurs between the estrogen receptor (ER) and NF-kappa-B in a cell-type specific manner. Decreases NF-kappa-B DNA-binding activity and inhibits NF-kappa-B-mediated transcription from the IL6 promoter and displace RELA/p65 and associated coregulators from the promoter. Recruited to the NF-kappa-B response element of the CCL2 and IL8 promoters and can displace CREBBP. Present with NF-kappa-B components RELA/p65 and NFKB1/p50 on ERE sequences. Can also act synergistically with NF-kappa-B to activate transcription involving respective recruitment adjacent response elements; the function involves CREBBP. Can activate the transcriptional activity of TFF1. Also mediates membrane-initiated estrogen signaling involving various kinase cascades. Essential for MTA1-mediated transcriptional regulation of BRCA1 and BCAS3 (PubMed:17922032).'
 'Involved in activation of NOS3 and endothelial nitric oxide production (PubMed:21937726). Isoforms lacking one or several functional domains are thought to modulate transcriptional activity by competitive ligand or DNA binding and/or heterodimerization with the full-length receptor (PubMed:10970861). Binds to ERE and inhibits isoform 1 (PubMed:10970861).']","['R-HSA-1251985' 'R-HSA-1257604' 'R-HSA-2219530' 'R-HSA-383280'
 'R-HSA-4090294' 'R-HSA-5689896' 'R-HSA-6811558' 'R-HSA-8866910'
 'R-HSA-8931987' 'R-HSA-8939211' 'R-HSA-8939256' 'R-HSA-8939902'
 'R-HSA-9009391' 'R-HSA-9018519']"
ENSG00000095464,phosphodiesterase 6C,protein_coding,"['As cone-specific cGMP phosphodiesterase, it plays an essential role in light detection and cone phototransduction by rapidly decreasing intracellular levels of cGMP.']",[]
ENSG00000100346,calcium voltage-gated channel subunit alpha1 I,protein_coding,"[""Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. This channel gives rise to T-type calcium currents. T-type calcium channels belong to the 'low-voltage activated (LVA)' group and are strongly blocked by nickel and mibefradil. A particularity of this type of channels is an opening at quite negative potentials, and a voltage-dependent inactivation. T-type channels serve pacemaking functions in both central neurons and cardiac nodal cells and support calcium signaling in secretory cells and vascular smooth muscle. They may also be involved in the modulation of firing patterns of neurons which is important for information processing as well as in cell growth processes. Gates in voltage ranges similar to, but higher than alpha 1G or alpha 1H (By similarity).""]",['R-HSA-419037']
ENSG00000100567,proteasome 20S subunit alpha 3,protein_coding,"['Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP-dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing proteins whose functions are no longer required. Associated with the PA200 or PA28, the 20S proteasome mediates ubiquitin-independent protein degradation. This type of proteolysis is required in several pathways including spermatogenesis (20S-PA200 complex) or generation of a subset of MHC class I-presented antigenic peptides (20S-PA28 complex). Binds to the C-terminus of CDKN1A and thereby mediates its degradation. Negatively regulates the membrane trafficking of the cell-surface thromboxane A2 receptor (TBXA2R) isoform 2.']","['R-HSA-1169091' 'R-HSA-1234176' 'R-HSA-1236974' 'R-HSA-1236978'
 'R-HSA-174084' 'R-HSA-174113' 'R-HSA-174154' 'R-HSA-174178'
 'R-HSA-174184' 'R-HSA-180534' 'R-HSA-180585' 'R-HSA-187577'
 'R-HSA-195253' 'R-HSA-202424' 'R-HSA-211733' 'R-HSA-2467813'
 'R-HSA-2871837' 'R-HSA-349425' 'R-HSA-350562' 'R-HSA-382556'
 'R-HSA-450408' 'R-HSA-4608870' 'R-HSA-4641257' 'R-HSA-4641258'
 'R-HSA-5358346' 'R-HSA-5362768' 'R-HSA-5607761' 'R-HSA-5607764'
 'R-HSA-5610780' 'R-HSA-5610783' 'R-HSA-5610785' 'R-HSA-5632684'
 'R-HSA-5658442' 'R-HSA-5668541' 'R-HSA-5676590' 'R-HSA-5678895'
 'R-HSA-5687128' 'R-HSA-5689603' 'R-HSA-5689880' 'R-HSA-68827'
 'R-HSA-68949' 'R-HSA-69017' 'R-HSA-69481' 'R-HSA-69601' 'R-HSA-75815'
 'R-HSA-8852276' 'R-HSA-8854050' 'R-HSA-8939236' 'R-HSA-8939902'
 'R-HSA-8941858' 'R-HSA-8948751' 'R-HSA-8951664' 'R-HSA-9010553'
 'R-HSA-9020702' 'R-HSA-9604323' 'R-HSA-983168']"
ENSG00000101162,tubulin beta 1 class VI,protein_coding,"['Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity).']","['R-HSA-1445148' 'R-HSA-190840' 'R-HSA-190861' 'R-HSA-2132295'
 'R-HSA-2467813' 'R-HSA-2500257' 'R-HSA-3371497' 'R-HSA-380320'
 'R-HSA-389957' 'R-HSA-389960' 'R-HSA-389977' 'R-HSA-437239'
 'R-HSA-5610787' 'R-HSA-5617833' 'R-HSA-5620924' 'R-HSA-5626467'
 'R-HSA-5663220' 'R-HSA-6807878' 'R-HSA-6811434' 'R-HSA-6811436'
 'R-HSA-68877' 'R-HSA-8852276' 'R-HSA-8955332' 'R-HSA-9609690'
 'R-HSA-9609736' 'R-HSA-9619483' 'R-HSA-9646399' 'R-HSA-9648025'
 'R-HSA-9668328' 'R-HSA-983189']"
ENSG00000102755,fms related receptor tyrosine kinase 1,protein_coding,"[""Tyrosine-protein kinase that acts as a cell-surface receptor for VEGFA, VEGFB and PGF, and plays an essential role in the development of embryonic vasculature, the regulation of angiogenesis, cell survival, cell migration, macrophage function, chemotaxis, and cancer cell invasion. Acts as a positive regulator of postnatal retinal hyaloid vessel regression (Ref.11). May play an essential role as a negative regulator of embryonic angiogenesis by inhibiting excessive proliferation of endothelial cells. Can promote endothelial cell proliferation, survival and angiogenesis in adulthood. Its function in promoting cell proliferation seems to be cell-type specific. Promotes PGF-mediated proliferation of endothelial cells, proliferation of some types of cancer cells, but does not promote proliferation of normal fibroblasts (in vitro). Has very high affinity for VEGFA and relatively low protein kinase activity; may function as a negative regulator of VEGFA signaling by limiting the amount of free VEGFA and preventing its binding to KDR. Modulates KDR signaling by forming heterodimers with KDR. Ligand binding leads to the activation of several signaling cascades. Activation of PLCG leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate and the activation of protein kinase C. Mediates phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase, leading to activation of phosphatidylinositol kinase and the downstream signaling pathway. Mediates activation of MAPK1/ERK2, MAPK3/ERK1 and the MAP kinase signaling pathway, as well as of the AKT1 signaling pathway. Phosphorylates SRC and YES1, and may also phosphorylate CBL. Promotes phosphorylation of AKT1 at 'Ser-473'. Promotes phosphorylation of PTK2/FAK1 (PubMed:16685275).""
 'Phosphorylates PLCG.' 'May function as decoy receptor for VEGFA.'
 ""Has a truncated kinase domain; it increases phosphorylation of SRC at 'Tyr-418' by unknown means and promotes tumor cell invasion.""]",['R-HSA-194306' 'R-HSA-195399']
ENSG00000103035,"proteasome 26S subunit, non-ATPase 7",protein_coding,"['Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair.']","['R-HSA-1169091' 'R-HSA-1234176' 'R-HSA-1236974' 'R-HSA-1236978'
 'R-HSA-174084' 'R-HSA-174113' 'R-HSA-174154' 'R-HSA-174178'
 'R-HSA-174184' 'R-HSA-180534' 'R-HSA-180585' 'R-HSA-187577'
 'R-HSA-195253' 'R-HSA-202424' 'R-HSA-211733' 'R-HSA-2467813'
 'R-HSA-2871837' 'R-HSA-349425' 'R-HSA-350562' 'R-HSA-382556'
 'R-HSA-450408' 'R-HSA-4608870' 'R-HSA-4641257' 'R-HSA-4641258'
 'R-HSA-5358346' 'R-HSA-5362768' 'R-HSA-5607761' 'R-HSA-5607764'
 'R-HSA-5610780' 'R-HSA-5610783' 'R-HSA-5610785' 'R-HSA-5632684'
 'R-HSA-5658442' 'R-HSA-5668541' 'R-HSA-5676590' 'R-HSA-5678895'
 'R-HSA-5687128' 'R-HSA-5689603' 'R-HSA-5689880' 'R-HSA-6798695'
 'R-HSA-68827' 'R-HSA-68949' 'R-HSA-69017' 'R-HSA-69481' 'R-HSA-69601'
 'R-HSA-75815' 'R-HSA-8852276' 'R-HSA-8854050' 'R-HSA-8939236'
 'R-HSA-8939902' 'R-HSA-8941858' 'R-HSA-8948751' 'R-HSA-8951664'
 'R-HSA-9010553' 'R-HSA-9020702' 'R-HSA-9604323' 'R-HSA-983168']"
ENSG00000105329,transforming growth factor beta 1,protein_coding,[],[]
ENSG00000106628,"DNA polymerase delta 2, accessory subunit",protein_coding,"[""Accessory component of both the DNA polymerase delta complex and the DNA polymerase zeta complex (PubMed:22801543, PubMed:17317665, PubMed:24449906). As a component of the trimeric and tetrameric DNA polymerase delta complexes (Pol-delta3 and Pol-delta4, respectively), plays a role in high fidelity genome replication, including in lagging strand synthesis, and repair (PubMed:12403614, PubMed:16510448, PubMed:19074196, PubMed:20334433, PubMed:24035200). Pol-delta3 and Pol-delta4 are characterized by the absence or the presence of POLD4. They exhibit differences in catalytic activity. Most notably, Pol-delta3 shows higher proofreading activity than Pol-delta4 (PubMed:19074196, PubMed:20334433). Although both Pol-delta3 and Pol-delta4 process Okazaki fragments in vitro, Pol-delta3 may also be better suited to fulfill this task, exhibiting near-absence of strand displacement activity compared to Pol-delta4 and stalling on encounter with the 5'-blocking oligonucleotides. Pol-delta3 idling process may avoid the formation of a gap, while maintaining a nick that can be readily ligated (PubMed:24035200). Along with DNA polymerase kappa, DNA polymerase delta carries out approximately half of nucleotide excision repair (NER) synthesis following UV irradiation (PubMed:20227374). Under conditions of DNA replication stress, required for the repair of broken replication forks through break-induced replication (BIR) (PubMed:24310611). Involved in the translesion synthesis (TLS) of templates carrying O6-methylguanine or abasic sites performed by Pol-delta4, independently of DNA polymerase zeta (REV3L) or eta (POLH). Facilitates abasic site bypass by DNA polymerase delta by promoting extension from the nucleotide inserted opposite the lesion. Also involved in TLS as a component of the DNA polymerase zeta complex (PubMed:24449906). Along with POLD3, dramatically increases the efficiency and processivity of DNA synthesis of the DNA polymerase zeta complex compared to the minimal zeta complex, consisting of only REV3L and REV7 (PubMed:24449906).""]","['R-HSA-110314' 'R-HSA-174411' 'R-HSA-174414' 'R-HSA-174417'
 'R-HSA-174437' 'R-HSA-5358565' 'R-HSA-5358606' 'R-HSA-5651801'
 'R-HSA-5656169' 'R-HSA-5685942' 'R-HSA-5696397' 'R-HSA-5696400'
 'R-HSA-6782135' 'R-HSA-6782210' 'R-HSA-69091' 'R-HSA-69166' 'R-HSA-69183']"
ENSG00000109390,NADH:ubiquinone oxidoreductase subunit C1,protein_coding,"['Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone.']",['R-HSA-611105' 'R-HSA-6799198']
ENSG00000109971,heat shock protein family A (Hsp70) member 8,protein_coding,"['Molecular chaperone implicated in a wide variety of cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488). This is achieved through cycles of ATP binding, ATP hydrolysis and ADP release, mediated by co-chaperones (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488, PubMed:12526792). The co-chaperones have been shown to not only regulate different steps of the ATPase cycle of HSP70, but they also have an individual specificity such that one co-chaperone may promote folding of a substrate while another may promote degradation (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488, PubMed:12526792). The affinity of HSP70 for polypeptides is regulated by its nucleotide bound state. In the ATP-bound form, it has a low affinity for substrate proteins. However, upon hydrolysis of the ATP to ADP, it undergoes a conformational change that increases its affinity for substrate proteins. HSP70 goes through repeated cycles of ATP hydrolysis and nucleotide exchange, which permits cycles of substrate binding and release. The HSP70-associated co-chaperones are of three types: J-domain co-chaperones HSP40s (stimulate ATPase hydrolysis by HSP70), the nucleotide exchange factors (NEF) such as BAG1/2/3 (facilitate conversion of HSP70 from the ADP-bound to the ATP-bound state thereby promoting substrate release), and the TPR domain chaperones such as HOPX and STUB1 (PubMed:24318877, PubMed:27474739, PubMed:24121476, PubMed:26865365). Plays a critical role in mitochondrial import, delivers preproteins to the mitochondrial import receptor TOMM70 (PubMed:12526792). Acts as a repressor of transcriptional activation. Inhibits the transcriptional coactivator activity of CITED1 on Smad-mediated transcription. Component of the PRP19-CDC5L complex that forms an integral part of the spliceosome and is required for activating pre-mRNA splicing. May have a scaffolding role in the spliceosome assembly as it contacts all other components of the core complex. Binds bacterial lipopolysaccharide (LPS) and mediates LPS-induced inflammatory response, including TNF secretion by monocytes (PubMed:10722728, PubMed:11276205). Participates in the ER-associated degradation (ERAD) quality control pathway in conjunction with J domain-containing co-chaperones and the E3 ligase STUB1 (PubMed:23990462). Interacts with VGF-derived peptide TLQP-21 (PubMed:28934328).']","['R-HSA-3371453' 'R-HSA-3371497' 'R-HSA-3371568' 'R-HSA-3371571'
 'R-HSA-432720' 'R-HSA-432722' 'R-HSA-447041' 'R-HSA-450408'
 'R-HSA-6785807' 'R-HSA-6798695' 'R-HSA-72163' 'R-HSA-8856828'
 'R-HSA-8876725' 'R-HSA-888590' 'R-HSA-9613354' 'R-HSA-9613829'
 'R-HSA-9615710']"
ENSG00000112033,peroxisome proliferator activated receptor delta,protein_coding,"['Ligand-activated transcription factor. Receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Has a preference for poly-unsaturated fatty acids, such as gamma-linoleic acid and eicosapentanoic acid. Once activated by a ligand, the receptor binds to promoter elements of target genes. Regulates the peroxisomal beta-oxidation pathway of fatty acids. Functions as transcription activator for the acyl-CoA oxidase gene. Decreases expression of NPC1L1 once activated by a ligand.']",['R-HSA-200425' 'R-HSA-204174' 'R-HSA-383280' 'R-HSA-5362517']
ENSG00000112115,interleukin 17A,protein_coding,"[""Effector cytokine of innate and adaptive immune system involved in antimicrobial host defense and maintenance of tissue integrity (PubMed:24120361). Signals via IL17RA-IL17RC heterodimeric receptor complex, triggering homotypic interaction of IL17RA and IL17RC chains with TRAF3IP2 adapter. This leads to downstream TRAF6-mediated activation of NF-kappa-B and MAPkinase pathways ultimately resulting in transcriptional activation of cytokines, chemokines, antimicrobial peptides and matrix metalloproteinases, with potential strong immune inflammation (PubMed:19825828, PubMed:21350122, PubMed:17911633, PubMed:18684971, PubMed:8676080, PubMed:24120361). Plays an important role in connecting T cell-mediated adaptive immunity and acute inflammatory response to destroy extracellular bacteria and fungi. As a signature effector cytokine of T-helper 17 cells (Th17), primarily induces neutrophil activation and recruitment at infection and inflammatory sites (By similarity). In airway epithelium, mediates neutrophil chemotaxis via induction of CXCL1 and CXCL5 chemokines (By similarity). In secondary lymphoid organs, contributes to germinal center formation by regulating the chemotactic response of B cells to CXCL12 and CXCL13, enhancing retention of B cells within the germinal centers, B cell somatic hypermutation rate and selection toward plasma cells (By similarity). Effector cytokine of a subset of gamma-delta T cells that functions as part of an inflammatory circuit downstream IL1B, TLR2 and IL23A-IL12B to promote neutrophil recruitment for efficient bacterial clearance (By similarity). Effector cytokine of innate immune cells including invariant natural killer cell (iNKT) and group 3 innate lymphoid cells that mediate initial neutrophilic inflammation (By similarity). Involved in the maintenance of the integrity of epithelial barriers during homeostasis and pathogen infection (PubMed:21350122). Upon acute injury, has a direct role in epithelial barrier formation by regulating OCLN localization and tight junction biogenesis (By similarity). As part of the mucosal immune response induced by commensal bacteria, enhances host's ability to resist pathogenic bacterial and fungal infections by promoting neutrophil recruitment and antimicrobial peptides release (By similarity). In synergy with IL17F, mediates the production of antimicrobial beta-defensins DEFB1, DEFB103A, and DEFB104A by mucosal epithelial cells, limiting the entry of microbes through the epithelial barriers (By similarity). Involved in antiviral host defense through various mechanisms (By similarity). Enhances immunity against West Nile virus by promoting T cell cytotoxicity (By similarity). May play a beneficial role in influenza A virus (H5N1) infection by enhancing B cell recruitment and immune response in the lung (By similarity). Contributes to influenza A virus (H1N1) clearance by driving the differentiation of B-1a B cells, providing for production of virus-specific IgM antibodies at first line of host defense (By similarity).""]",['R-HSA-448424' 'R-HSA-6785807']
ENSG00000113161,3-hydroxy-3-methylglutaryl-CoA reductase,protein_coding,"['Catalyzes the conversion of (3S)-hydroxy-3-methylglutaryl-CoA (HMG-CoA) to mevalonic acid, the rate-limiting step in the synthesis of cholesterol and other isoprenoids, thus plays a critical role in cellular cholesterol homeostasis (PubMed:2991281, PubMed:21357570, PubMed:6995544). HMGCR is the main target of statins, a class of cholesterol-lowering drugs (PubMed:11349148, PubMed:18540668).']",['R-HSA-191273' 'R-HSA-1989781' 'R-HSA-2426168' 'R-HSA-9619665']
